# Molecular parmaeters taken from HITRAN molparam.txt
# Reference
# -----------
# http://hitran.org/media/molparam.txt
#
# Reshaped to be read as a Pandas dataframe
# >>> import pandas as pd
# >>> molparam = pd.read_csv('molparam.txt', comment='#', delim_whitespace=True)
#
# Note
# ---------
# Isotope number was derived manually assuming the isonames were ordered in the database
# The isotope AFGL code (ex: CO2 626) is kept for comparison if ever needed
#
# -----------------------------------------------------
id iso isoname abundance     Q_296K      gj    mol_mass
16 4  21  7.68016E-05    5.8676E+02   12     82.930289
#    HI (17)
17 1  17  .999844E+00    3.8899E+02   12    127.912297
17 2  27  1.55741E-04    1.1470E+03   18    128.918472
#   ClO (18)
18 1  56  .755908E+00    3.2746E+03    4     50.963768
18 2  76  .241720E+00    3.3323E+03    4     52.960819
#   OCS (19)
19 1  622  .937395E+00    1.2210E+03    1     59.966986
19 2  624  4.15828E-02    1.2535E+03    1     61.962780
19 3  632  1.05315E-02    2.4842E+03    2     60.970341
19 4  623  7.39908E-03    4.9501E+03    4     60.966371
19 5  822  1.87967E-03    1.3137E+03    1     61.971231
#  H2CO (20)
20 1  126  .986237E+00    2.8467E+03    1     30.010565
20 2  136  1.10802E-02    5.8376E+03    2     31.013920
20 3  128  1.97761E-03    2.9864E+03    1     32.014811
#  HOCl (21)
21 1  165  .755790E+00    1.9274E+04    8     51.971593
21 2  167  .241683E+00    1.9616E+04    8     53.968644
#    N2 (22)
22 1  44  .992687E+00    4.6598E+02    1     28.006148
22 2  45  7.47809E-03    3.8646E+02    6     29.003182
#   HCN (23)
23 1  124  .985114E+00    8.9529E+02    6     27.010899
23 2  134  1.10676E-02    1.8403E+03   12     28.014254
23 3  125  3.62174E-03    6.2141E+02    4     28.007933
# CH3Cl (24)
24 1  215  .748937E+00    5.7916E+04    4     49.992328
24 2  217  .239491E+00    5.8834E+04    4     51.989379
#  H2O2 (25)
25 1 1661  .994952E+00    9.8198E+03    1     34.005480
#  C2H2 (26)
26 1  1221  .977599E+00    4.1403E+02    1     26.015650
26 2  1231  2.19663E-02    1.6562E+03    8     27.019005
26 3  1222  3.04550E-04    1.5818E+03    6     27.021825
#  C2H6 (27)
27 1  1221  .976990E+00    7.0881E+04    1     30.046950
27 2  1231  2.19526E-02    3.6191E+04    2     31.050305
#   PH3 (28)
28 1  1111  .999533E+00    3.2486E+03    2     33.997238
#  COF2 (29)
29 1  269  .986544E+00    7.0044E+04    1     65.991722
29 2  369  1.10834E-02    3.7844E+04    2     66.995083
#   SF6 (30)
30 1  29  .950180E+00    1.6233E+06    1    145.962492
#   H2S (31)
31 1  121  .949884E+00    5.0307E+02    1     33.987721
31 2  141  4.21369E-02    5.0435E+02    1     35.983515
31 3  131  7.49766E-03    2.0149E+03    4     34.987105
# HCOOH (32)
32 1  126  .983898E+00    3.9133E+04    4     46.005480
#   HO2 (33)
33 1  166  .995107E+00    4.3004E+03    2     32.997655
#     O (34)
34 1   6  .997628E+00    6.7212E+00    1     15.994915
# ClONO2 (35)
35 1  5646  .749570E+00    4.7884E+06   12     96.956672
35 2  7646  .239694E+00    4.9102E+06   12     98.953723
#   NO+ (36)
36 1  46  .993974E+00    3.1168E+02    3     29.997989
#  HOBr (37)
37 1  169  .505579E+00    2.8339E+04    8     95.921076
37 2  161  .491894E+00    2.8238E+04    8     97.919027
#  C2H4 (38)
38 1  221  .977294E+00    1.1041E+04    1     28.031300
38 2  231  2.19595E-02    4.5197E+04    2     29.034655
# CH3OH (39)
39 1  2161  .985930E+00    3.5314E+04    2     32.026215
# CH3Br (40)
40 1  219  .500995E+00    8.3051E+04    4     93.941811
40 2  211  .487433E+00    8.3395E+04    4     95.939764
# CH3CN (41)
41 1  2124  .973866E+00    8.8671E+04    3     41.026549
#   CF4 (42)
42 1  29  .988890E+00    1.2127E+05    1     87.993616
#  C4H2 (43)
43 1 2211  .955998E+00    9.8180E+03    1     50.015650
#  HC3N (44)
44 1 1224  .963346E+00    2.4785E+04    6     51.010899
#    H2 (45)
45 1 11  .999688E+00    7.6724E+00    1     2.0156500
45 2 12  3.11432E-04    2.9879E+01    6     3.0218250
#    CS (46)
46 1  22  .939624E+00    2.5362E+02    1     43.971036
46 2  24  .416817E-01    2.5777E+02    1     45.966787
46 3  32  .105565E-01    5.3750E+02    2     44.974368
46 4  23  .741668E-02    1.0230E+03    4     44.970399
#   SO3 (47)
47 1  26  .943400E+00    7.9638E+03    1     79.956820
